study	sample	experiment	run	ftp	name
SRP026126	SRS445946	SRX307087	SRR903104	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307087/SRR903104/SRR903104.sra	ABRF_ILMN_RIBO_B_3_0
SRP026126	SRS445950	SRX307091	SRR903132	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307091/SRR903132/SRR903132.sra	ABRF_ILMN_RIBO_C_3_3
SRP026126	SRS445924	SRX307064	SRR902953	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307064/SRR902953/SRR902953.sra	ABRF_ILMN_M_AH_2_3
SRP026126	SRS445946	SRX307087	SRR903103	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307087/SRR903103/SRR903103.sra	ABRF_ILMN_RIBO_B_3_1
SRP026126	SRS445945	SRX307086	SRR903092	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307086/SRR903092/SRR903092.sra	ABRF_ILMN_RIBO_B_2_1
SRP026126	SRS445940	SRX307081	SRR903054	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307081/SRR903054/SRR903054.sra	ABRF_ILMN_RIBO_A_1_2
SRP026126	SRS445956	SRX307096	SRR903173	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307096/SRR903173/SRR903173.sra	ABRF_ILMN_RIBO_D_4_5
SRP026126	SRS445949	SRX307090	SRR903124	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307090/SRR903124/SRR903124.sra	ABRF_ILMN_RIBO_C_2_0
SRP026126	SRS445950	SRX307091	SRR903133	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307091/SRR903133/SRR903133.sra	ABRF_ILMN_RIBO_C_3_4
SRP026126	SRS445924	SRX307064	SRR902949	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307064/SRR902949/SRR902949.sra	ABRF_ILMN_M_AH_2_4
SRP026126	SRS445940	SRX307081	SRR903056	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307081/SRR903056/SRR903056.sra	ABRF_ILMN_RIBO_A_1_3
SRP026126	SRS445948	SRX307089	SRR903119	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307089/SRR903119/SRR903119.sra	ABRF_ILMN_RIBO_C_1_0
SRP026126	SRS445926	SRX307067	SRR902968	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307067/SRR902968/SRR902968.sra	ABRF_ILMN_M_AS_2_1
SRP026126	SRS445956	SRX307096	SRR903176	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307096/SRR903176/SRR903176.sra	ABRF_ILMN_RIBO_D_4_6
SRP026126	SRS445944	SRX307085	SRR903084	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307085/SRR903084/SRR903084.sra	ABRF_ILMN_RIBO_B_1_1
SRP026126	SRS445945	SRX307086	SRR903094	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307086/SRR903094/SRR903094.sra	ABRF_ILMN_RIBO_B_2_2
SRP026126	SRS445940	SRX307081	SRR903052	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307081/SRR903052/SRR903052.sra	ABRF_ILMN_RIBO_A_1_4
SRP026126	SRS445940	SRX307081	SRR903050	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307081/SRR903050/SRR903050.sra	ABRF_ILMN_RIBO_A_1_5
SRP026126	SRS445922	SRX307063	SRR902946	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307063/SRR902946/SRR902946.sra	ABRF_ILMN_M_AH_1_0
SRP026126	SRS445947	SRX307088	SRR903111	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307088/SRR903111/SRR903111.sra	ABRF_ILMN_RIBO_B_4_1
SRP026126	SRS445945	SRX307086	SRR903097	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307086/SRR903097/SRR903097.sra	ABRF_ILMN_RIBO_B_2_3
SRP026126	SRS445941	SRX307082	SRR903060	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307082/SRR903060/SRR903060.sra	ABRF_ILMN_RIBO_A_2_7
SRP026126	SRS445940	SRX307081	SRR903051	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307081/SRR903051/SRR903051.sra	ABRF_ILMN_RIBO_A_1_6
SRP026126	SRS445928	SRX307069	SRR902981	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307069/SRR902981/SRR902981.sra	ABRF_ILMN_N_AH_1_0
SRP026126	SRS445949	SRX307090	SRR903128	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307090/SRR903128/SRR903128.sra	ABRF_ILMN_RIBO_C_2_1
